aggregate data per location for Magnitude = 75
Exploration Plus Magnitude
magnitude value : 1 5 10 20 50 75 100 
PM : Numerical Perturbator
20 arrays of 100 integers
Random integer generated with 23 as seed
41 perturbations points
IndexLoc   #Success   #Failure   #Exception #CallAllExecs      AvgCallPerExec     #Perturbations AvgPerturbationPerExec   #Execs     #ExecsRef  AvgCallRefPerTask #Tasks     %Success                   
0          1715       35         1          155014             88,53              1751           1,00                     1751       1751       87.55             20         -------------------- 97,94 
1          365        0          1386       104807             59,86              1751           1,00                     1751       1751       87.55             20         ----- 20,85                
2          423        0          1328       109393             62,47              1751           1,00                     1751       1751       87.55             20         ----- 24,16                
3          1122       0          629        144443             82,49              1751           1,00                     1751       1751       87.55             20         ------------- 64,08        
4          1125       0          626        111225             63,52              1751           1,00                     1751       1751       87.55             20         ------------- 64,25        
5          1122       0          629        144443             82,49              1751           1,00                     1751       1751       87.55             20         ------------- 64,08        
6          1751       0          0          153703             87,78              1751           1,00                     1751       1751       87.55             20         -------------------- 100,00
7          423        0          1328       109393             62,47              1751           1,00                     1751       1751       87.55             20         ----- 24,16                
8          423        0          1328       109393             62,47              1751           1,00                     1751       1751       87.55             20         ----- 24,16                
9          1739       0          12         154055             87,98              1751           1,00                     1751       1751       87.55             20         -------------------- 99,31 
10         5938       0          0          1845417            310,78             5938           1,00                     5938       5938       296.9             20         -------------------- 100,00
11         5932       0          6          1764366            297,13             5938           1,00                     5938       5938       296.9             20         -------------------- 99,90 
12         1437       916        6106       2609498            308,49             8459           1,00                     8459       8459       422.95            20         ---- 16,99                 
13         8459       0          0          3646401            431,07             8459           1,00                     8459       8459       422.95            20         -------------------- 100,00
14         8442       0          17         3649998            431,49             8459           1,00                     8459       8459       422.95            20         -------------------- 99,80 
15         4272       0          0          981572             229,77             4272           1,00                     4272       4272       213.6             20         -------------------- 100,00
16         1163       417        7915       2820691            297,07             9495           1,00                     9495       9495       474.75            20         --- 12,25                  
17         9477       0          18         4572843            481,61             9495           1,00                     9495       9495       474.75            20         -------------------- 99,81 
18         9495       0          0          4576479            481,99             9495           1,00                     9495       9495       474.75            20         -------------------- 100,00
19         5308       0          0          1486040            279,96             5308           1,00                     5308       5308       265.4             20         -------------------- 100,00
20         4187       0          0          880852             210,38             4187           1,00                     4187       4187       209.35            20         -------------------- 100,00
21         3616       571        0          876065             209,23             4187           1,00                     4187       4187       209.35            20         ------------------ 86,36   
22         2          1119       2495       490095             135,54             3616           1,00                     3616       3616       180.8             20         - 0,06                     
23         0          577        3039       407170             112,60             3616           1,00                     3616       3616       180.8             20          0,00                      
24         3616       0          0          654422             180,98             3616           1,00                     3616       3616       180.8             20         -------------------- 100,00
25         3616       0          0          654422             180,98             3616           1,00                     3616       3616       180.8             20         -------------------- 100,00
26         1092       659        0          148640             84,89              1751           1,00                     1751       1751       87.55             20         ------------- 62,36        
27         1751       0          0          154360             88,16              1751           1,00                     1751       1751       87.55             20         -------------------- 100,00
28         118        453        269        32002              38,10              840            1,00                     840        840        42.0              20         --- 14,05                  
29         211        0          629        31380              37,36              840            1,00                     840        840        42.0              20         ------ 25,12               
30         1751       0          0          154309             88,13              1751           1,00                     1751       1751       87.55             20         -------------------- 100,00
31         1084       667        0          148557             84,84              1751           1,00                     1751       1751       87.55             20         ------------- 61,91        
32         128        394        369        35007              39,29              891            1,00                     891        891        44.55             20         --- 14,37                  
33         154        0          737        30793              34,56              891            1,00                     891        891        44.55             20         ---- 17,28                 
34         244        882        2490       490775             135,72             3616           1,00                     3616       3616       180.8             20         -- 6,75                    
35         0          3616       0          654422             180,98             3616           1,00                     3616       3616       180.8             20          0,00                      
36         2          1119       2495       489999             135,51             3616           1,00                     3616       3616       180.8             20         - 0,06                     
37         133        444        3039       407212             112,61             3616           1,00                     3616       3616       180.8             20         - 3,68                     
38         553        3058       5          653601             180,75             3616           1,00                     3616       3616       180.8             20         ---- 15,29                 
39         7          575        3034       407955             112,82             3616           1,00                     3616       3616       180.8             20         - 0,19                     
40         0          3616       0          654422             180,98             3616           1,00                     3616       3616       180.8             20          0,00                      
