Number of Execution of the reference run per location and per task 
With the aggregation by task for each location, and the total of the execution ref
IndexLoc   IndexTask  #ExecRef  
0          0          90        
0          1          86        
0          2          84        
0          3          90        
0          4          86        
0          5          90        
0          6          87        
0          7          93        
0          8          86        
0          9          86        
0          10         88        
0          11         84        
0          12         90        
0          13         93        
0          14         89        
0          15         88        
0          16         84        
0          17         87        
0          18         86        
0          19         84        
0          TotalExcRef 1751      
1          0          90        
1          1          86        
1          2          84        
1          3          90        
1          4          86        
1          5          90        
1          6          87        
1          7          93        
1          8          86        
1          9          86        
1          10         88        
1          11         84        
1          12         90        
1          13         93        
1          14         89        
1          15         88        
1          16         84        
1          17         87        
1          18         86        
1          19         84        
1          TotalExcRef 1751      
2          0          90        
2          1          86        
2          2          84        
2          3          90        
2          4          86        
2          5          90        
2          6          87        
2          7          93        
2          8          86        
2          9          86        
2          10         88        
2          11         84        
2          12         90        
2          13         93        
2          14         89        
2          15         88        
2          16         84        
2          17         87        
2          18         86        
2          19         84        
2          TotalExcRef 1751      
3          0          90        
3          1          86        
3          2          84        
3          3          90        
3          4          86        
3          5          90        
3          6          87        
3          7          93        
3          8          86        
3          9          86        
3          10         88        
3          11         84        
3          12         90        
3          13         93        
3          14         89        
3          15         88        
3          16         84        
3          17         87        
3          18         86        
3          19         84        
3          TotalExcRef 1751      
4          0          90        
4          1          86        
4          2          84        
4          3          90        
4          4          86        
4          5          90        
4          6          87        
4          7          93        
4          8          86        
4          9          86        
4          10         88        
4          11         84        
4          12         90        
4          13         93        
4          14         89        
4          15         88        
4          16         84        
4          17         87        
4          18         86        
4          19         84        
4          TotalExcRef 1751      
5          0          90        
5          1          86        
5          2          84        
5          3          90        
5          4          86        
5          5          90        
5          6          87        
5          7          93        
5          8          86        
5          9          86        
5          10         88        
5          11         84        
5          12         90        
5          13         93        
5          14         89        
5          15         88        
5          16         84        
5          17         87        
5          18         86        
5          19         84        
5          TotalExcRef 1751      
6          0          90        
6          1          86        
6          2          84        
6          3          90        
6          4          86        
6          5          90        
6          6          87        
6          7          93        
6          8          86        
6          9          86        
6          10         88        
6          11         84        
6          12         90        
6          13         93        
6          14         89        
6          15         88        
6          16         84        
6          17         87        
6          18         86        
6          19         84        
6          TotalExcRef 1751      
7          0          90        
7          1          86        
7          2          84        
7          3          90        
7          4          86        
7          5          90        
7          6          87        
7          7          93        
7          8          86        
7          9          86        
7          10         88        
7          11         84        
7          12         90        
7          13         93        
7          14         89        
7          15         88        
7          16         84        
7          17         87        
7          18         86        
7          19         84        
7          TotalExcRef 1751      
8          0          90        
8          1          86        
8          2          84        
8          3          90        
8          4          86        
8          5          90        
8          6          87        
8          7          93        
8          8          86        
8          9          86        
8          10         88        
8          11         84        
8          12         90        
8          13         93        
8          14         89        
8          15         88        
8          16         84        
8          17         87        
8          18         86        
8          19         84        
8          TotalExcRef 1751      
9          0          90        
9          1          86        
9          2          84        
9          3          90        
9          4          86        
9          5          90        
9          6          87        
